Baseline 100%T,,5%,,10%,,15%,,A,,A!,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1018,0.220912233,1018,2.69210887,1018,2.749691486,1018,2.72909832,1018,0.1496558189,1018,0.1372513622,
1017,0.2209868878,1017,2.73535347,1017,2.786144018,1017,2.817679644,1017,0.1492533833,1017,0.1368953735,
1016,0.2210663408,1016,2.804499388,1016,2.74690485,1016,2.709055185,1016,0.1492558569,1016,0.1369068325,
1015,0.2211169451,1015,2.775369644,1015,2.770710945,1015,2.819429159,1015,0.1492262632,1015,0.1369585991,
1014,0.2210902423,1014,2.789468527,1014,2.723686934,1014,2.743216276,1014,0.1495148838,1014,0.1372023225,
1013,0.2212023735,1013,2.762431145,1013,2.738944769,1013,2.700005293,1013,0.1496705711,1013,0.1372753233,
1012,0.2211880684,1012,2.756450653,1012,2.766048193,1012,2.684329987,1012,0.1499178559,1012,0.1375477761,
1011,0.2211877555,1011,2.781285048,1011,2.734708786,1011,2.768800259,1011,0.1502210349,1011,0.1378034502,
1010,0.2212629765,1010,2.763715982,1010,2.785488129,1010,2.747945786,1010,0.1504701227,1010,0.1381023079,
1009,0.2213991135,1009,2.776354313,1009,2.691584349,1009,2.70922327,1009,0.150666073,1009,0.138441205,
1008,0.2214169949,1008,2.724395275,1008,2.739824057,1008,2.71208024,1008,0.1513098776,1008,0.1388482451,
1007,0.2215349376,1007,2.792192698,1007,2.769850016,1007,2.722501278,1007,0.1515601426,1007,0.1392529905,
1006,0.2215175629,1006,2.816128731,1006,2.698794603,1006,2.727316618,1006,0.1519628614,1006,0.1394692808,
1005,0.2216050476,1005,2.791977406,1005,2.748236656,1005,2.691972733,1005,0.1521250159,1005,0.1397081167,
1004,0.2217707783,1004,2.70855546,1004,2.682922125,1004,2.702553749,1004,0.1520278454,1004,0.1397218257,
1003,0.2217157781,1003,2.78382206,1003,2.759154081,1003,2.70705986,1003,0.1521351933,1003,0.1398674399,
1002,0.2217922211,1002,2.739096403,1002,2.759948492,1002,2.721300602,1002,0.1523205042,1002,0.1399134547,
1001,0.2219434381,1001,2.777387381,1001,2.671114445,1001,2.761613846,1001,0.152337417,1001,0.1399661154,
1000,0.2220254838,1000,2.723949194,1000,2.73964119,1000,2.778332949,1000,0.1523379236,1000,0.1399770081,
999,0.2219851315,999,2.77290082,999,2.742292404,999,2.694542408,999,0.1524431854,999,0.1401661336,
998,0.222217679,998,2.735496044,998,2.738429308,998,2.705183029,998,0.1522650421,998,0.1399742216,
997,0.2222431153,997,2.796395063,997,2.789531231,997,2.705921412,997,0.1521752179,997,0.1398287863,
996,0.2222983837,996,2.745551109,996,2.70861268,996,2.74799037,996,0.1519432813,996,0.1396595836,
995,0.2224050313,995,2.794665098,995,2.722582817,995,2.727146387,995,0.1518074423,995,0.1396611631,
994,0.2223293483,994,2.715288401,994,2.740870476,994,2.708498716,994,0.1518957913,994,0.1396534145,
993,0.2225311548,993,2.766532421,993,2.732504129,993,2.728962421,993,0.1515896916,993,0.1392745823,
992,0.2225942463,992,2.716347694,992,2.768466234,992,2.700146914,992,0.1517175734,992,0.1392866671,
991,0.2226991355,991,2.754471779,991,2.768881083,991,2.715741634,991,0.1516664028,991,0.1393055767,
990,0.2226891518,990,2.824597597,990,2.735707045,990,2.711521387,990,0.1516925693,990,0.1394147873,
989,0.2226646841,989,2.762045145,989,2.678900242,989,2.686290026,989,0.1522447467,989,0.1397718638,
988,0.2227535248,988,2.746149302,988,2.745947123,988,2.702153444,988,0.152460441,988,0.1400811374,
987,0.2228986025,987,2.700649261,987,2.721380949,987,2.773158789,987,0.1527749598,987,0.1403356045,
986,0.2230929136,986,2.732288837,986,2.685091734,986,2.699697495,986,0.1529063135,986,0.1405117959,
985,0.2231709659,985,2.812644482,985,2.726279497,985,2.753205776,985,0.153341189,985,0.1409825236,
984,0.223171711,984,2.724458456,984,2.762918711,984,2.719583988,984,0.1538895965,984,0.1416688263,
983,0.2232088,983,2.696756363,983,2.704335451,983,2.709159851,983,0.1543896198,983,0.1421001703,
